Origen,fecha,municipio,recinto,comunidad,nota,comentario,estatus,veracidad
"A","2016-05-14 17:37:28","GASPAR HERNANDEZ","ESC. PRIMARIA LUIS C. DEL CASTILLO, CALLE MANUEL CARABALLO, GASPAR HERNANDEZ",\N,"","","A","P"
"A","2016-05-14 17:58:06","SAN JUAN DE LA MAGUANA",\N,\N,"","En sabana alta, un municipio de san juan, se esta practicando como en todas las elecciones lo mismo, el candidato a sindico, y actual sindico esta repartiendo dinero para comprar votos, esa foto es del facebook de su hijo, que hace proselitismo junto con su padre. Esto es lo que aspiramos a cambiar.","A","P"
"A","2016-05-14 18:03:41","LA ROMANA",\N,\N,"amanda","","A","P"
"A","2016-05-14 18:04:37","SANTO DOMINGO DE GUZMÁN",\N,\N,"amanda","","A","P"
"A","2016-05-14 18:30:22","SANTO DOMINGO ESTE",\N,\N,"amanda trabajando","Miembros del PLD en la Calle 10 del sector Lucerna, alrededor de las 1pm, al frente del parque que se encuentra en esa calle con micrófonos dando discurso a los ''compañeros''","A","P"
"Votchat","2016-05-14 17:01:16",\N,\N,\N,\N,"nada dkdkskfjdkd fjdjdjdkfjekekfkkdkdkfkfkr",\N,"P"
"Votchat","2016-05-14 17:45:42",\N,\N,\N,\N,"nada",\N,"P"
"Votchat","2016-05-14 18:54:08",\N,\N,\N,"","votare por luis abinader creo que es luis es un candidato serio y este pais se merece un presidente como el para gobernar",\N,"F"
"Votchat","2016-05-14 18:54:11",\N,\N,\N,"","denuncia de prueba prueba prueba",\N,"F"
"A","2016-05-14 19:11:23","SANTO DOMINGO NORTE",\N,\N,"","ESTE ES EL ALCALDE DE SDN FRANCISCO FERNANDEZ DANDO DINERO EN EFECTIVO A DEPORTISTAS UN DIA ANTED DE LAS ELECCIONES PARA COMPRAR SU VOLUNTAD DE VOTO","A","P"
"SMS","2016-05-14 19:40:12",\N,\N,\N,"","blablabla",\N,"P"
"SMS","2016-05-14 19:40:12",\N,\N,\N,"","bla bla bla",\N,"P"
"SMS","2016-05-14 19:40:12",\N,\N,\N,\N,"Vía wassap",\N,"P"
"SMS","2016-05-14 19:40:12",\N,\N,\N,"","402223007577",\N,"P"
"SMS","2016-05-14 19:40:12",\N,\N,\N,"","P860048766",\N,"P"
"SMS","2016-05-14 19:40:12",\N,\N,\N,"","Quiero saber mi centro de votaci?n 40222307577",\N,"P"
"SMS","2016-05-14 19:40:12",\N,\N,\N,\N,"0860048766",\N,"P"
"A","2016-05-14 19:43:47","ALTAMIRA",\N,\N,"","","A","P"
"A","2016-05-14 19:44:37","BAITOA",\N,\N,"","Prueba de foto","A","P"
"A","2016-05-14 19:46:30","IMBERT",\N,\N,"","prueba","A","P"
"A","2016-05-14 19:53:17","ARENOSO",\N,\N,"","","A","P"
"A","2016-05-14 21:24:41","SANTO DOMINGO DE GUZMÁN",\N,\N,"impreso. a emergencia","Autobuses con afiches de candidatos del PLD en la Av. Duarte esq. Av. París, comprando cédulas antes de montar a las personas para llevarlas al municipio donde votarán.","A","P"
"A","2016-05-14 22:14:05","SANTO DOMINGO NORTE",\N,\N,"","","A","P"
"A","2016-05-14 23:10:53","AZUA",\N,\N,"Esta la envió Yacine, con foto","","A","P"
"A","2016-05-15 00:42:22","CONSTANZA",\N,\N,"Impreso, a emergencia","El PLD está comprando cédulas y han usado dinero falso para parte de esa compra","A","P"
"A","2016-05-15 00:45:08","JARABACOA",\N,\N,"Impreso, a emergencia","En el Distrito Municipal de Buena Vista el PLD anda casa por casa ofertando 2 mil pesos por cédulas","A","P"
"A","2016-05-15 01:12:41","SAN CRISTOBAL",\N,\N,"Impreso, a emergencia","alexis sanchez diputado por el PLD san Cristobal","A","P"
"A","2016-05-15 06:29:05","SANTO DOMINGO DE GUZMÁN",\N,\N,"Impresa, enviado a emergancia","Seleccioné Santo Domingo en el Municipio porque no da opción para voto en el exterior. En Londres personas afuera de la estación de metro más cercana al  recinto electoral, supuestamente para indicarles la dirección del lugar a los votantes, con letreros de Danilo Medina colgados al cuello, dicen ser &quot;orientadores&quot;","A","P"
"A","2016-05-15 06:42:48","SALVALEÓN DE HIGÜEY",\N,\N,"Impresa, enviada a emergencia","en Higuey no dejan entrar a Delegados el BIS porque ellos dicen que son partidos aliados, pero solo son aliados a nivel presidencial, a nivel de alcaldía y demas no!","A","P"
"A","2016-05-15 07:30:32","SANTO DOMINGO DE GUZMÁN",\N,\N,"amanda","Son las 7:31 am y aun no inicia la votacion. No han llegado los equipos electronicos ni los tecnicos.","A","P"
"A","2016-05-15 07:47:57","SANTO DOMINGO DE GUZMÁN",\N,\N,"No va ha emergencia ni al mapa","Tardanza en la llegada de los equipos","A","P"
"A","2016-05-15 08:29:20","JARABACOA",\N,\N,"Impreso.  A emergencia","Por favor, que sea mas pacifico esto y menos fraudulento.","A","P"
"A","2016-05-15 08:29:48","SANTO DOMINGO DE GUZMÁN",\N,\N,"Impreso, a emergencia","","A","P"
"A","2016-05-15 08:30:27","SANTO DOMINGO DE GUZMÁN",\N,\N,"impreso, a emergencia","Material promocional distribuido por miembros del Bloque Institucional Socialdemocrata en la entrada del Club Coanca, El Cacique","A","P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","Hola quiero saber qu? ha pasado",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","0310497129",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"Impreso. a emergencia","Aqui en el seibo estan comprando cedula.",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","Club Paraiso no ha abierto puertas. T?cnicos escaneres no han llegado.",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","En el club Paraiso a?n el colegio no est? funcionando, la fila tien",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","e una cuadra de largo, con personas de todas las edades, estamos su",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","puestamente esperando los t?cnicos de la JCE para los esc?neres",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","Hay mucha gente haciendo fila. Temo que algunos se marchen.",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"Impreso, a emergencia, son dos mensajes","mos se est?n caldeando y la gente est? impaciente, los t?cnicos de",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"Impreso Mensaje 2","la Junta siguen sin aparecer",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","Club Paraiso del D.N. no abre todavia. La gente de las mesas no dice nada.",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","Empieza a haber discusiones.",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","O2600751412",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","Saludos buen d?a en mi colegio electoral 0617,recinto instituto ger",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","mosen, Stgo de lo caballeros, todav?a no arranca el proceso de vota",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","ci?n tenemos un grupo de ciudadanos alrededor de 2 horas esperando",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","y todav?a no empiezan",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","Voto",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","0280017370",\N,"P"
"SMS","2016-05-15 08:34:40",\N,\N,\N,"","Favor verificar mesa 00101443265",\N,"P"
"Votchat","2016-05-14 19:30:35",\N,\N,\N,\N,"probando probando probando",\N,"P"
"Votchat","2016-05-15 03:40:08",\N,\N,\N,"","un fraude la vega ",\N,"P"
"A","2016-05-15 08:42:14","SANTO DOMINGO DE GUZMÁN",\N,\N,"","A las 8 am approx. Se escucha una fuerte explosion en gazcue y se va la luz. hasta ahora a las 8 y 40 am no ha vuelto. no he llamado a la cdee aun, pero que quede constancia del evento y que ni ha llovido.","A","P"
"A","2016-05-15 08:48:49","SANTO DOMINGO DE GUZMÁN",\N,\N,"","En las mesas 298A y 299A del Colegio Aurora Tavárez Belliard mis hijos y yo votamos SIN ESCÁNERES. No hay escáneres en varias mesas de dicho Colegio Electoral.","A","P"
"SMS","2016-05-15 08:50:02",\N,\N,\N,"","Esa es la cedula",\N,"P"
"SMS","2016-05-15 08:50:02",\N,\N,\N,"","Es confirmar mi mesaaa!",\N,"P"
"SMS","2016-05-15 08:50:02",\N,\N,\N,"","Ufff... thanks!",\N,"P"
"A","2016-05-15 08:51:06","SANTO DOMINGO ESTE",\N,\N,"impreso, a emergencia","","A","P"
"A","2016-05-15 08:54:40","SANTO DOMINGO ESTE",\N,\N,"impresa, a emergencia PRIORITARO","Se estaban cambiando las boletas en las mesas, cuando un señor vio eso fue a quejarse en la mesa y lo golpearon hasta crearle contusiones leves en la cabeza, esto sucedio hoy a las 8:24 de la mañana en la patria mella de santo domingo este","A","P"
"SMS","2016-05-15 09:10:01",\N,\N,\N,"","026001083542",\N,"P"
"Votchat","2016-05-15 09:02:40",\N,\N,\N,"","a las 8 am approx. se escucha una fuerte explosion en gazcue y se va la luz. hasta ahora a las 8 y 40 am no hay. no he llamado a la cdee pero que quede constancia que ni ha llovido. no, gracias",\N,"P"
"SMS","2016-05-15 09:20:01",\N,\N,\N,"","Donde voto",\N,"P"
"Votchat","2016-05-15 09:10:23",\N,\N,\N,"","reportar las maquinas no sirven no me reconocieron sino al tiempo  reportar deben estar mas preparado no gracias",\N,"P"
"A","2016-05-15 09:21:40","SANTO DOMINGO DE GUZMÁN",\N,\N,"","Para noticias SIN:                                         Si se presentan imágenes de los candidatos municipales y congresuales, deben presentarse todos independientemente de q sean partidos minoritarios. El no hacerlo condiciona subliminarmente aunque no sea esta la intención","A","P"
"A","2016-05-15 09:24:54","SANTO DOMINGO DE GUZMÁN",\N,\N,"impreso, a emergencia","Colegio Don Bosco. Regando tarjeticas  de candidatos congreso en puerta de acceso colegio. No hemos comenzado. 9.00am","A","P"
"A","2016-05-15 09:29:37","SANTO DOMINGO DE GUZMÁN",\N,\N,"","Todo tranquilo, todo funcionando","A","P"
"A","2016-05-15 09:33:29","SANTO DOMINGO DE GUZMÁN",\N,\N,"Impreso, a emergencia","Esto sucedió en el Colegio Claret en Santo Domingo; el PLD haciendo propaganda de Danilo. Al tratar de tomar una foto, los guardias me prohibieron sacar el celular con actitud violenta.","A","P"
"A","2016-05-15 09:34:01","BANI","ESCUELA PRIM. ANA AMERICA VDA. BUCARELLY, LAS MERCEDES/CANELA MOTA, BANI",\N,"","Retraso en el inicio del proceso de votación por más de 1 hora y media, con explicaciones relativas a mal funcionamiento de los equipos de registro de votantes.","A","P"
"A","2016-05-15 09:36:02","BANI","ESCUELA PRIM. ANA AMERICA VDA. BUCARELLY, LAS MERCEDES/CANELA MOTA, BANI",\N,"","Retraso de inicio de votación de casi dos horas, por problemas con los equipos de reconocimiento de las huellas dactilares.","A","P"
"A","2016-05-15 09:37:39","BANI","ESCUELA PRIM. ANA AMERICA VDA. BUCARELLY, LAS MERCEDES/CANELA MOTA, BANI",\N,"","Retraso en las votaciones por razones relativas al incorrecto funcionamiento de los escáneres.","A","P"
"A","2016-05-15 09:39:23","SANTO DOMINGO ESTE",\N,\N,"Impreso, a emergencia","Delegado de la junta faltando respeto Mesa 0997B","A","P"
"A","2016-05-15 09:39:44","SANTIAGO DE LOS CABALLEROS","ESCUELA GENARO PEREZ, AV. FRANCIA, SANTIAGO",\N,"Impreso. a emergencia","La presencia del partido oficialista es intimidante.","A","P"
"A","2016-05-15 09:53:13","SANTO DOMINGO DE GUZMÁN",\N,\N,"Imprimir, a emergencia","en la mesa 299A del colegio aurora tavarez belliard en Santo Domingo el presidente de la mesa solamente esta sellando las boletas en un solo cuadro y al solicitarle que debe ser sellada en ambos cuadros dijo que no era necesario y segun la JCE ese voto es nulo, por lo que todos de la mesa saldrán nulos","A","F"
"A","2016-05-15 10:17:30","SANTO DOMINGO DE GUZMÁN",\N,\N,"","Los militares no hicieron nada. Mucho menos los policias. Hubo disturbios en el colegio localizado en la escuela Victor Garrido, en el INVI, km. 10 de la Sanchez.","A","P"
"A","2016-05-15 10:19:57","DAJABON","COLEGIO LOYOLA, DUARTE/EMILIO BATISTA 70, DAJABON",\N,"impreso. a emergencia","","A","P"
"SMS","2016-05-15 10:20:01",\N,\N,\N,"","Cédula",\N,"P"
"Votchat","2016-05-15 10:11:35",\N,\N,\N,"impreso, a emergencia","en el liceo estados unidos, al uno llegar al recinto hay personas tanto del pld, como del prd con gafetes identificados de esos partidos y de tab diciendo que votes por uno de ellos, siento que eso es una violacion y falta de respeto a las personas que vamos a votar eso debe prohibirse rotundamente, coño las ciudadanos estamos cansados de eso, están haciendo proselitismo político afuera de los recientes como que na e na  por ahora no ",\N,"P"
"A","2016-05-15 10:28:42","SAN JOSE DE OCOA","ESCUELA PRIMARIA RURAL, PARAJE EL PINAR, D.M. EL PINAR","","Impreso. A emergencia","","A","P"
"A","2016-05-15 10:40:31","SANTO DOMINGO DE GUZMÁN",\N,"","mesa #1661 del colegio Arroyo hondo fraude a la clara el presidente de la mesa estaba en el podio con uno de los votantes diciendo como y donde votar, los delegados no decían nada.","mesa #1661 del colegio Arroyo hondo fraude a la clara el presidente de la mesa estaba en el podio con uno de los votantes diciendo como y donde votar, los delegados no decían nada.","A","V"
"A","2016-05-15 10:41:26","SANTO DOMINGO DE GUZMÁN",\N,"","impreso. a emergencia","Delegado del PLD quería ayudar a señora a votar porque no veía bien. Personas con pequeños carteles proselitistas del PRM y PLD. Todo lo anterior en el Colegio Electoral ubicado en el Colegio Quisqueya, Distrito Nacional.","A","P"
"SMS","2016-05-15 10:50:01",\N,\N,\N,"","#02800720688",\N,"P"
"A","2016-05-15 10:51:53","CONSTANZA","ESCUELA BASICA DE ARROYO ARRIBA, PARAJE ARROYO ARRIBA, ARROYO ARRIBA, MALDONADO","Arroyo arriba","Apresan a una persona por compra de cédula.","Apresan a una persona por compra de cedula","A","V"
"A","2016-05-15 10:58:10","SANTO DOMINGO DE GUZMÁN",\N,"Arroyo Hondo","En la mesa 1536C están entregando las boletas sin firmar y sin sellar.","En la mesa 1536C están entregando las boletas sin firmar y sin sellar.","A","V"
"A","2016-05-15 11:01:13","SANTIAGO DE LOS CABALLEROS",\N,"Gurabo","Impresa. URENTE","el colegio 444 del Recinto Felicia Hernández de Gurabo las boletas están saliendo pre marcadas","A","P"
"A","2016-05-15 11:09:39","SANTO DOMINGO ESTE",\N,"Zona colonial","Impresión a emergencia","Saludos los tecnicos de la JCE son permicibos a que los delegados que la mayoria responden al partido oficialista en plena mesa incitan a votar 2 por Danilo Medina , fuera del recinto hay propaganda sumamente exagerada presentando al candidato oficial , no hay scanner no hay autoridad dentro del recinto que controle el proceso, hago la observacion que no respondo a ningun partido solo soy un ciudadano correcto.","A","P"
"SMS","2016-05-15 11:10:01",\N,\N,\N,"","https://www.facebook.com/incomicafanpage/videos/771245726323967/",\N,"P"
"Votchat","2016-05-15 11:00:26",\N,\N,\N,"","ejercí mi voto en madrid \"centro sociocultural jose esproceda\" a las 10:00am y todo estaba tranquilo, desconozco a que hora inició, lo que había mucho aglomeramiento de personas en la entrada principal del centro.",\N,"P"
"A","2016-05-15 11:16:32","SANTO DOMINGO ESTE",\N,"Brisa del eden","","No pude tomar fotografias porque andaba sola y era un riesgo para mi.","A","P"
"A","2016-05-15 11:17:34","SANTO DOMINGO DE GUZMÁN",\N,"Atala","","Ausencia de plantillas para que las personas con discapacidad visual podamos votar.","A","P"
"SMS","2016-05-15 11:20:01",\N,\N,\N,\N,"compra de cedulas",\N,"P"
"A","2016-05-15 11:20:15","VILLA GONZALEZ",\N,"El aguacate",\N,"El ingeniero cabrera manipulando arma de fuego","A","P"
"A","2016-05-15 11:27:14","SANTO DOMINGO DE GUZMÁN",\N,"Ensanche Espaillat","impeso","Estan ofreciendo dinero a las personas para que voten por un partido X","A","P"
"A","2016-05-15 11:29:18","PERALTA","ESCUELA PRIMARIA URBANA 19 DE MARZO, CIUDAD, PERALTA","Peralta","La candidata a alcalde Magnolia Martinez del partido del PLD estaba con una boleta enseñándole a algunas personas cómo votar por ella.","La candidata a alcande Magnolia Martinez del partido del PLD estaba con una boleta enseñandole a algunas personas cómo votar por ella. *","A","V"
"SMS","2016-05-15 11:30:01",\N,\N,\N,\N,"001 1371911 6",\N,"P"
"SMS","2016-05-15 11:30:01",\N,\N,\N,\N,"No estan tomando Huellas digitales en las mesas electorales del nuevo liceo ubicado en la calle Josefa brea del ensanche Luperon zona norte DN. Tienen el aparato desconetacto el personal de la Jce mesa 283A",\N,"P"
"SMS","2016-05-15 11:30:01",\N,\N,\N,\N,"001 1107715 2",\N,"P"
"A","2016-05-15 11:33:18","SANTO DOMINGO DE GUZMÁN",\N,"Los Guandules","","","A","P"
"A","2016-05-15 11:33:45","SANTO DOMINGO DE GUZMÁN",\N,"Urb. Fernandez","","He recibido una llamada telefónica a mi celular personal del número 8492956614 con mi nombre y pidiéndome que vote por una candidata en especifico, yanette camilo... Por favor INVESTIGAR esto es ilegal","A","P"
"A","2016-05-15 11:36:43","SAN FRANCISCO DE MACORIS","ESC. PRIM. MARIA ALTAGRACIA PAULA, SECTOR VILLA VERDE, SAN FRANCISCO DE MACORIS","Villa Verde",\N,"","A","P"
"A","2016-05-15 11:36:45","SANTO DOMINGO DE GUZMÁN",\N,"Calle Desiderio Arias","Imprimir","Habian 2 jeepetas negras comprando cédulas","A","P"
"A","2016-05-15 11:37:51","ARENOSO","LICEO SEC.  EUGENO MARIA DE HOSTOS, CIUDAD, ARENOSO","Arenoso","Mesa No.4 fallo el sistema después del inicio.","Mesa No.4 fallo el sistema después del inicio.*","A","V"
"A","2016-05-15 11:39:49","VILLA GONZALEZ",\N,"D. M. EL LIMON, EL AGUACATE","","El ingeniero Irvin cabrera distribución de dinero","A","P"
"SMS","2016-05-15 11:40:01",\N,\N,\N,"","0274A",\N,"P"
"SMS","2016-05-15 11:40:01",\N,\N,\N,\N,"095 00060851",\N,"P"
"SMS","2016-05-15 11:40:01",\N,\N,\N,\N,"No es para saber donde vota esa persona osea en que lugar",\N,"P"
"A","2016-05-15 11:41:10","SANTIAGO DE LOS CABALLEROS","ESCUELA PRIMARIA SALOME UREÑA, PARAJE GURABO ABAJO SECCION GURABO ABAJO, GURABO ABAJO","gurabo","","No hay escaner para digitalizar las huellas dactilares.","A","P"
"A","2016-05-15 11:41:23","BANICA","ESCUELA PRIMARIA EVA MA. PELLERANO, CIUDAD, BANICA","Banica","Discusión con delegado PLD, PRD, PRSC. Se contuvo.","Discusión con delegado PLD, PRD, PRSC. Se contuvo*","A","V"
"A","2016-05-15 11:44:30","BANICA","ESCUELA PRIMARIA RURAL, PARAJE LOS YAREYES, LOS YAREYES (DM SABANA HIGUERO)","Banica","Se inició a las 10:00. El registro de concurrentes de huellas tenía problemas.","Se inicio a laso 10:00 la mapuira de huellas tenia problemas.*","A","P"
"A","2016-05-15 11:46:07","SANTO DOMINGO DE GUZMÁN",\N,"piantini","impreso","mi padre falleció en diciembre, pero su cedula sale hábil para votar en el padrón","A","P"
"A","2016-05-15 11:48:43","SANTO DOMINGO DE GUZMÁN",\N,"Ens. Naco","Me llamo Wendy Santos Berroa. Soy acompañante de mi hija en el programa de observadores electorales. Estamos asignadas en la misma mesa donde voto: la 0206 del Colegio San Judas Tadeo. Cuando me tocó votar, después de los miembros de la mesa y los delegados, me entregaron 4 boletas en vez de 3: DOS PRESIDENCIALES, una municipal y una congresual. La casualidad es que figuro en el padrón como miembro del PLD (que lo era, pero renuncié hace casi 20 años).","DENUNCIA PÚBLICA (favor difundir):  Me llamo Wendy Santos Berroa. Soy acompañante de mi hija en el programa de observadores electorales. Estamos asignadas en la misma mesa donde voto: la 0206 del Colegio San Judas Tadeo.  Cuando me tocó votar, después de los miembros de la mesa y los delegados, me entregaron 4 boletas en vez de 3: DOS PRESIDENCIALES, una municipal y una congresual.  La casualidad es que figuro en el padrón como miembro del PLD (que lo era, pero renuncié hace casi 20 años).  Por","A","V"
"A","2016-05-15 11:49:20","BARAHONA","LICEO SECUND. FEDERICO HQUEZ. Y CARVAJAL, CARRETERA ENRIQUILLO, BARAHONA","Barahona","Compra de cédulas y acumulación de votantes.","Compra de cédulas y acumulación de votantes.*","A","V"
"SMS","2016-05-15 11:50:01",\N,\N,\N,"","Hola, mi hermano vive en el exterior del país y lo cambiaron de mes",\N,"P"
"Votchat","2016-05-15 11:40:45",\N,\N,\N,"Impreso","retraso en el inició de votación olegio 1687, ubicado en el colegio víctor manuel de lucerna-santo domingo este; inicio a las 9:00a.m., porque la técnica de la jce no lograba poner en funcionamiento el dispositivo para registro de concurrentes y lxs miembros del colegio desconocian la resolución de la jce que permite el registro manual después de 20 minutos de rtraso en ese centro de votación es visible la propaganda electoral por parte de distintos partidos ",\N,"P"
"A","2016-05-15 11:53:39","BOCA CHICA",\N,"Escuela Alvalira Acosta",\N,"Mesa No.1716 no ha iniciado.*","A","P"
"A","2016-05-15 11:54:03","DISTRITO NACIONAL","COLEGIO SAN JUAN BAUTISTA, BELLA VISTA","Bella Vista, Colegio San Juan Bautista","En Bella Vista, Colegio San Juan Bautista)  la mesa 265A. Los que estaban en el escaner con el voto le tiro fotos a las boletas.*","En la mesa 265A. Los que estaban en el escaner con el voto le tiro fotos a las boletas.*","A","V"
"A","2016-05-15 11:54:37","COTUI","LICEO FRANCISCO HENRIQUEZ Y CARVAJAL, PROLONGACION MELLA, COTUI","BARRIO ACAPULCO","","EL PROCESO INICIO A LAS 9 QUINCE MINUTOS EN EL COLEGIO ELECTORAL 102A.  SE PROCEDIÓ EL CON EL PROCESO MANUALMENTE","A","P"
"A","2016-05-15 11:58:22","CASTAÑUELAS",\N,"Escuela de la Capitales","Desorden de filas.","Desorden de filas.*","A","V"
"A","2016-05-15 12:00:34","CASTAÑUELAS","ESCUELA PRIM. JOSE G. GARCIA, ZONA URBANA, CASTAÑUELAS","Castañuelas","Impreso a emergencia","Discusiones en mesa No.10 por anulación de votos.","A","P"
"A","2016-05-15 12:03:43","SANTO DOMINGO OESTE",\N,"Honduras del Oeste, Invi.","","","A","P"
"A","2016-05-15 12:04:17","BOCA CHICA",\N,"Escuela Alvarila Acosta","Mesa No.1716 no ha iniciado.","Mesa No.1716 no ha iniciado.*","A","V"
"A","2016-05-15 12:07:01","SANTIAGO DE LOS CABALLEROS",\N,"Bartolomé Colón","Imprimir Urgente","Dando 4 boletas (2 presidenciales) a las personas que están inscritas en el Padrón del PLD.","A","P"
"A","2016-05-15 12:08:26","SANTO DOMINGO DE GUZMÁN",\N,"INVI","impresa","Me llamaron deal comando de campaña de Karim Abu Naba , candidato a alcalde y me ofrecieron transporte y taquillas se Barbarella hoy día 15.","A","P"
"A","2016-05-15 12:08:34","FANTINO","COLEGIO SANTO DOMINGO, JUAN SANCHEZ RAMIREZ NO.1, FANTINO","Fantino","Dificultad con equipo técnico.","Dificultad con equipo técnico.*","A","V"
"SMS","2016-05-15 12:10:01",\N,\N,\N,"Al intentar ejercer mi derecho al Ensanche Atala, Santo Domingo, los miembros de la mesa me informaron que las personas con discapacidad visual podamos votar y no he podido cumplir con mi deber de votar. Colegio 0244","Hola. Soy Nerilissa Aybar Rivera. Al intentar ejercer mi derecho al",\N,"V"
"SMS","2016-05-15 12:10:01",\N,\N,\N,"","voto en el Colegio 0244 en la calle Bartolom? Olegario P?rez en el",\N,"P"
"SMS","2016-05-15 12:10:01",\N,\N,\N,"","Ensanche Atala, Santo Domingo, los miembros de la mesa me informar",\N,"P"
"SMS","2016-05-15 12:10:01",\N,\N,\N,"","on que dentro de la valija suministrada por la JCE no est?n las pla",\N,"P"
"SMS","2016-05-15 12:10:01",\N,\N,\N,"","ntillas para que las personas con discapacidad visual podamos votar",\N,"P"
"SMS","2016-05-15 12:10:01",\N,\N,\N,"",", vulnerando as? el car?cter secreto que la Constituci?n le atribuy",\N,"P"
"SMS","2016-05-15 12:10:01",\N,\N,\N,"","e al voto, raz?n por la cual no he podido cumplir con mi deber.",\N,"P"
"A","2016-05-15 12:10:25","GUANANICO","ESCUELA PRIMARIA JOSE CASTELLAÑOS, CALLE PADRE JOSE CORTINA NO. 13, GUANANICO","Guananico","Habia problema con el dispositivo de escaner en algunas de las mesas.","Habia problema con el dispositivo de escaner en algunas de las mesas.*","A","V"
